first order = 79, last order = 31
relative scatter of m*lambda_blaze : 1.78e-03 (runner-up 3.98e-03)
2*d*sin(theta_b) = 76742.3 nm

 idx   m   lambda_blaze   m*lambda   m from order overlap
   0   79       973.01     76867.5          78.73
   1   78       985.39     76860.4          77.75
   2   77       998.10     76853.7          76.76
   3   76      1011.08     76842.3          75.77
   4   75      1024.50     76837.8          74.79
   5   74      1038.31     76834.9          73.80
   6   73      1052.41     76826.1          72.81
   7   72      1067.00     76823.7          71.82
   8   71      1081.92     76816.4          70.83
   9   70      1097.36     76815.0          69.84
  10   69      1113.22     76812.3          68.85
  11   68      1129.66     76817.1          67.86
  12   67      1146.51     76816.0          66.87
  13   66      1163.87     76815.4          65.87
  14   65      1181.79     76816.5          64.88
  15   64      1200.28     76818.1          63.89
  16   63      1219.31     76816.8          62.89
  17   62      1238.95     76814.8          61.90
  18   61      1259.19     76810.4          60.91
  19   60      1280.07     76804.1          59.91
  20   59      1301.71     76800.8          58.92
  21   58      1324.04     76794.5          57.92
  22   57      1347.16     76788.1          56.93
  23   56      1371.22     76788.1          55.93
  24   55      1395.97     76778.1          54.93
  25   54      1422.16     76796.9          53.94
  26   53      1448.82     76787.4          52.94
  27   52      1476.52     76779.0          51.95
  28   51      1505.34     76772.4          50.95
  29   50      1535.37     76768.6          49.95
  30   49      1566.64     76765.5          48.95
  31   48      1599.26     76764.6          47.96
  32   47      1632.87     76744.9          46.96
  33   46      1668.08     76731.6          45.96
  34   45      1705.38     76741.9          44.96
  35   44      1744.02     76736.8          43.97
  36   43      1784.20     76720.5          42.97
  37   42      1826.51     76713.6          41.97
  38   41      1870.82     76703.7          40.97
  39   40      1917.00     76680.2          39.97
  40   39      1966.45     76691.6          38.97
  41   38      2017.45     76663.2          37.98
  42   37      2071.50     76645.5          36.98
  43   36      2128.20     76615.2          35.98
  44   35      2185.53     76493.4          34.98
  45   34      2250.13     76504.3          33.98
  46   33      2321.75     76617.8          32.98
  47   32      2387.48     76399.5          31.98
  48   31      2453.70     76064.9          30.98
